dataset,context_variant,description,window,auroc_micro,auroc_micro_norm,auroc_macro,n_frames
shanghaitech,none,-,1,0.4741,0.4832,0.563,20449
shanghaitech,none,-,5,0.4692,0.4857,0.5612,20449
shanghaitech,generic,a generic scene,1,0.4802,0.4967,0.5698,20449
shanghaitech,generic,a generic scene,5,0.4812,0.5141,0.5769,20449
shanghaitech,matched,a university campus walkway with pedestrians,1,0.4822,0.4941,0.5816,20449
shanghaitech,matched,a university campus walkway with pedestrians,5,0.4793,0.5041,0.5832,20449
shanghaitech,mismatched,an industrial quality-inspection image of a manufactured product on a factory line,1,0.4872,0.5166,0.5969,20449
shanghaitech,mismatched,an industrial quality-inspection image of a manufactured product on a factory line,5,0.4814,0.5247,0.5951,20449
