strategy,prompts,crops,window,dev_auroc,heldout_auroc
margin_pooled_plus_center,surveillance,mean,1,0.5437,0.6446
center,-,max,31,0.5436,0.6288
margin_maxmax_plus_center,union,max,1,0.5436,0.6075
center,-,mean,31,0.5436,0.6288
margin_maxmax_plus_center,surveillance,mean,31,0.5428,0.6469
margin_maxmax,surveillance,mean,5,0.5426,0.624
margin_pooled_plus_center,union,max,31,0.5414,0.6241
center,-,max,15,0.5413,0.6144
center,-,mean,15,0.5413,0.6144
margin_pooled,surveillance,max,31,0.5412,0.5904
margin_maxmax_plus_center,campus,max,1,0.5412,0.6016
margin_pooled_plus_center,campus,max,31,0.54,0.5951
margin_pooled_plus_center,union,max,5,0.5349,0.607
margin_pooled_plus_center,surveillance,mean,15,0.5342,0.6379
margin_pooled,surveillance,mean,5,0.5337,0.6253
center,-,max,5,0.5323,0.6024
center,-,mean,5,0.5323,0.6024
margin_pooled_plus_center,surveillance,mean,31,0.5321,0.6274
margin_pooled_plus_center,campus,max,15,0.5315,0.5825
margin_pooled_plus_center,union,max,15,0.5311,0.6175
margin_pooled_plus_center,union,max,1,0.5306,0.5906
margin_pooled_plus_center,campus,max,5,0.5301,0.5747
margin_maxmax,union,max,1,0.527,0.5889
margin_maxmax,surveillance,mean,15,0.5263,0.6328
margin_maxmax,campus,max,1,0.5252,0.5696
center,-,max,1,0.5235,0.597
center,-,mean,1,0.5235,0.597
margin_pooled,union,max,15,0.523,0.5663
margin_pooled,union,max,31,0.522,0.586
margin_maxmax,surveillance,mean,31,0.5206,0.6284
margin_pooled_plus_center,campus,max,1,0.5188,0.5596
margin_pooled,campus,max,31,0.5181,0.515
margin_pooled,union,max,5,0.5175,0.559
margin_maxmax_plus_center,generic,max,15,0.5168,0.6051
margin_pooled,union,max,1,0.5159,0.5482
margin_maxmax_plus_center,generic,max,5,0.5154,0.6028
margin_pooled,campus,max,15,0.5137,0.5103
margin_maxmax_plus_center,generic,max,1,0.5137,0.6086
margin_pooled_plus_center,generic,max,1,0.5133,0.6022
margin_pooled,surveillance,mean,15,0.512,0.617
margin_pooled_plus_center,generic,max,5,0.5118,0.601
