strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
margin_maxmax_plus_motion5,campus,whole,15,0.6587,0.662,0.0216,0.6599
margin_pooled_plus_motion1,surveillance,whole,5,0.6584,0.6784,0.0351,0.6681
textdev_w150_plus_motion5,surveillance,whole,5,0.6584,0.6668,0.0333,0.6631
margin_pooled_plus_motion5,disjoint,whole,15,0.658,0.6496,0.0227,0.6539
margin_maxmax_plus_motion5,disjoint,whole,15,0.658,0.6496,0.0227,0.6539
margin_maxmax_plus_motion1,campus,whole,15,0.6578,0.6575,0.0169,0.6566
margin_pooled,surveillance,whole,1,0.6572,0.6756,0.037,0.6666
textdev_w50_plus_motion5,union,whole,31,0.6572,0.6706,0.0171,0.6638
margin_maxmax_plus_motion5,union,whole,15,0.6571,0.6644,0.0215,0.6604
margin_pooled_plus_motion5,union,whole,15,0.6567,0.6576,0.0195,0.6563
textdev_w150_plus_motion1,union,whole,5,0.6562,0.6627,0.0207,0.6595
textdev_clip,disjoint,whole,5,0.6558,0.6685,0.0248,0.6628
textdev_w50_plus_motion5,disjoint,whole,5,0.6556,0.662,0.0206,0.659
margin_maxmax_plus_motion1,surveillance,whole,5,0.6555,0.6638,0.0215,0.659
textdev_clip_plus_motion1,campus,whole,31,0.6554,0.6565,0.0084,0.656
textdev_w150_plus_motion1,disjoint,whole,1,0.6553,0.6628,0.0244,0.6596
motion1,-,whole,5,0.6551,0.6592,0.0162,0.657
textdev_w150_plus_motion5,union,whole,5,0.6542,0.6578,0.0192,0.6562
textdev_w150_plus_center,disjoint,whole,31,0.6539,0.6537,0.0315,0.6545
textdev_w50_plus_motion1,disjoint,whole,5,0.6538,0.6721,0.0207,0.6632
textdev_w150_plus_motion1,surveillance,whole,5,0.6536,0.6746,0.036,0.6645
textdev_clip_plus_motion5,union,whole,5,0.6531,0.6556,0.0173,0.6545
textdev_clip_plus_motion5,disjoint,whole,1,0.653,0.6493,0.0201,0.6514
margin_maxmax_plus_motion1,union,whole,15,0.6525,0.655,0.0188,0.6527
textdev_clip_plus_motion5,surveillance,whole,5,0.6524,0.6562,0.0324,0.6549
textdev_w150_plus_motion5,surveillance,whole,1,0.6516,0.6569,0.0298,0.6548
margin_pooled_plus_motion1,disjoint,whole,31,0.6512,0.6481,0.018,0.6492
margin_maxmax_plus_motion1,disjoint,whole,31,0.6512,0.6481,0.018,0.6492
textdev_clip_plus_motion1,union,whole,5,0.6512,0.66,0.0195,0.6557
textdev_w150,surveillance,whole,15,0.6507,0.6768,0.0401,0.6653
textdev_w50_plus_motion1,union,whole,31,0.6505,0.6663,0.0182,0.6583
textdev_clip,disjoint,whole,1,0.6501,0.663,0.0244,0.6573
margin_pooled_plus_motion5,campus,whole,31,0.6501,0.6518,0.0154,0.6513
margin_pooled_plus_motion1,union,whole,15,0.6499,0.6484,0.0194,0.6479
textdev_w50_plus_motion5,surveillance,whole,31,0.6498,0.6586,0.0315,0.6541
textdev_clip_plus_motion5,campus,whole,31,0.6495,0.6514,0.0088,0.6505
textdev_w50_plus_motion1,surveillance,whole,31,0.6489,0.6637,0.0339,0.6563
textdev_w150,surveillance,whole,5,0.6487,0.6721,0.0393,0.662
textdev_clip_plus_center,disjoint,whole,31,0.6487,0.6474,0.0319,0.6489
textdev_w50_plus_motion5,surveillance,whole,15,0.6482,0.657,0.0316,0.6529
textdev_w50_plus_motion5,union,whole,15,0.6482,0.6592,0.0169,0.6535
textdev_clip_plus_motion1,surveillance,whole,5,0.648,0.6664,0.0346,0.6577
textdev_w150_plus_motion1,campus,whole,31,0.6479,0.6502,0.0074,0.6492
margin_pooled_plus_motion1,disjoint,whole,15,0.6474,0.6487,0.019,0.6475
margin_maxmax_plus_motion1,disjoint,whole,15,0.6474,0.6487,0.019,0.6475
textdev_w150,surveillance,whole,31,0.6473,0.6748,0.0385,0.6626
margin_pooled_plus_motion5,surveillance,whole,1,0.6473,0.6506,0.0317,0.6484
textdev_clip_plus_motion1,campus,whole,15,0.6469,0.6497,0.0105,0.6479
textdev_w50_plus_motion5,campus,whole,31,0.6461,0.6517,0.0121,0.6487
textdev_w150,surveillance,whole,1,0.6457,0.666,0.0371,0.6576
margin_maxmax,surveillance,whole,15,0.6451,0.6697,0.0303,0.6561
textdev_clip_plus_motion1,disjoint,whole,1,0.6449,0.6513,0.0235,0.6487
textdev_clip_plus_motion5,campus,whole,15,0.6446,0.6488,0.01,0.6468
textdev_w150_plus_center,disjoint,whole,15,0.6443,0.6469,0.0289,0.646
motion5,-,whole,5,0.6435,0.629,0.0098,0.6367
textdev_w150_plus_motion5,campus,whole,31,0.6435,0.6438,0.0083,0.6437
textdev_clip_plus_motion5,surveillance,whole,1,0.6434,0.6465,0.0284,0.6457
textdev_w150_plus_motion5,union,whole,1,0.6434,0.6454,0.0174,0.6446
textdev_w150_plus_motion1,surveillance,whole,1,0.6433,0.6617,0.0358,0.6532
textdev_w50_plus_motion5,disjoint,whole,1,0.6429,0.6494,0.0195,0.6462
margin_pooled_plus_motion1,surveillance,whole,1,0.642,0.6619,0.0351,0.6516
textdev_w150_plus_motion1,campus,whole,15,0.6418,0.6444,0.0101,0.6429
textdev_w50_plus_motion1,union,whole,15,0.6414,0.656,0.0196,0.6484
textdev_w150_plus_motion5,campus,whole,15,0.6403,0.6433,0.0105,0.6421
textdev_w50,disjoint,whole,31,0.6393,0.6621,0.0253,0.651
textdev_clip,surveillance,whole,31,0.639,0.6694,0.0379,0.6556
textdev_clip,surveillance,whole,15,0.6389,0.6687,0.04,0.6554
textdev_clip_plus_motion5,union,whole,1,0.6389,0.6398,0.0155,0.6395
textdev_w50_plus_motion1,surveillance,whole,15,0.6386,0.6559,0.0343,0.6475
textdev_w50_plus_motion5,campus,whole,15,0.6385,0.643,0.0124,0.6404
textdev_w50_plus_motion1,campus,whole,31,0.6374,0.6487,0.0132,0.6429
textdev_w150_plus_center,disjoint,whole,5,0.6363,0.6407,0.0275,0.639
textdev_clip_plus_motion1,surveillance,whole,1,0.6361,0.6527,0.0346,0.6452
textdev_clip_plus_center,disjoint,whole,15,0.6361,0.6377,0.0283,0.6376
textdev_w150_plus_motion1,union,whole,1,0.636,0.6419,0.0221,0.6392
margin_maxmax_plus_center,surveillance,whole,31,0.6355,0.6381,0.0286,0.6366
margin_pooled_plus_center,surveillance,whole,31,0.6342,0.6452,0.0335,0.6401
textdev_clip_plus_motion5,campus,whole,5,0.6338,0.6322,0.0093,0.6333
textdev_w50_plus_motion5,union,whole,5,0.6331,0.6383,0.0169,0.6358
textdev_clip,surveillance,whole,5,0.6327,0.6591,0.0389,0.6477
motion5,-,whole,1,0.6318,0.6189,0.013,0.6255
textdev_w50_plus_motion1,campus,whole,15,0.6314,0.6391,0.0146,0.6348
textdev_w50_plus_motion1,disjoint,whole,1,0.6313,0.6454,0.0229,0.6387
textdev_w50,disjoint,whole,15,0.6309,0.6553,0.0234,0.643
