strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
textdev_clip_plus_motion5,mismatched,whole,31,0.664,0.6784,0.0301,0.6713
textdev_clip_plus_motion5,generic,whole,15,0.6637,0.6717,0.037,0.6684
textdev_w150_plus_motion5,mismatched,whole,31,0.6637,0.6846,0.032,0.6741
textdev_w150_plus_motion5,mismatched,whole,15,0.6636,0.6816,0.0325,0.6728
textdev_w50_plus_motion1,matched,whole,31,0.6631,0.68,0.0293,0.6715
margin_pooled_plus_motion5,generic,whole,5,0.6626,0.6707,0.0314,0.6667
textdev_clip_plus_motion1,matched,whole,15,0.6625,0.686,0.0375,0.6744
textdev_w150_plus_motion5,generic,whole,31,0.6619,0.6791,0.0401,0.6704
textdev_clip_plus_motion5,mismatched,whole,15,0.6616,0.6741,0.0307,0.6681
margin_pooled_plus_motion1,generic,whole,5,0.6608,0.68,0.0335,0.6705
textdev_w150_plus_motion1,matched,whole,5,0.6608,0.6811,0.0347,0.6714
textdev_w150_plus_motion1,generic,whole,31,0.6607,0.685,0.0375,0.6732
margin_maxmax_plus_motion5,none,whole,5,0.6605,0.6597,0.0196,0.6596
margin_maxmax_plus_motion5,mismatched,whole,5,0.6605,0.6597,0.0196,0.6596
textdev_clip_plus_motion1,generic,whole,31,0.6603,0.6816,0.036,0.6715
textdev_clip_plus_motion5,generic,whole,31,0.6603,0.6754,0.039,0.6679
textdev_w150_plus_motion1,generic,whole,15,0.6598,0.6837,0.039,0.6721
margin_maxmax_plus_motion5,generic,whole,5,0.6597,0.6591,0.0198,0.6591
textdev_clip_plus_motion1,none,whole,15,0.6596,0.6794,0.0362,0.67
textdev_w150_plus_motion1,mismatched,whole,31,0.6586,0.6796,0.03,0.6694
margin_pooled_plus_motion1,none,whole,5,0.6584,0.6784,0.0351,0.6681
textdev_w150_plus_motion5,none,whole,5,0.6584,0.6668,0.0333,0.6631
margin_pooled_plus_motion1,mismatched,whole,31,0.6582,0.6675,0.0271,0.6622
textdev_clip_plus_motion1,mismatched,whole,31,0.6578,0.674,0.0281,0.6661
textdev_clip_plus_motion1,generic,whole,15,0.6576,0.6791,0.0373,0.6688
margin_pooled,none,whole,1,0.6572,0.6756,0.037,0.6666
textdev_w150_plus_motion5,matched,whole,5,0.6569,0.6638,0.0299,0.6607
textdev_w150_plus_motion1,mismatched,whole,15,0.6556,0.678,0.0331,0.6668
margin_maxmax_plus_motion1,none,whole,5,0.6555,0.6638,0.0215,0.659
margin_maxmax_plus_motion1,mismatched,whole,5,0.6555,0.6638,0.0215,0.659
motion1,-,whole,5,0.6551,0.6592,0.0162,0.657
margin_maxmax_plus_motion1,generic,whole,5,0.6546,0.6635,0.0221,0.6586
textdev_w50_plus_motion5,matched,whole,15,0.6545,0.6646,0.0249,0.6593
textdev_w150_plus_motion1,none,whole,5,0.6536,0.6746,0.036,0.6645
margin_pooled_plus_motion5,mismatched,whole,15,0.6535,0.66,0.028,0.6564
textdev_clip_plus_motion1,matched,whole,5,0.6527,0.6729,0.0329,0.6632
textdev_w50_plus_motion5,mismatched,whole,31,0.6526,0.6575,0.0262,0.6548
textdev_clip_plus_motion5,none,whole,5,0.6524,0.6562,0.0324,0.6549
textdev_clip_plus_motion1,mismatched,whole,15,0.6524,0.6701,0.0304,0.6612
textdev_w150_plus_motion5,mismatched,whole,5,0.6519,0.6617,0.0291,0.6572
textdev_w150_plus_motion5,none,whole,1,0.6516,0.6569,0.0298,0.6548
margin_pooled_plus_motion5,matched,whole,1,0.6514,0.6611,0.0237,0.656
textdev_w150_plus_motion5,matched,whole,1,0.6512,0.6542,0.0262,0.6528
textdev_w150_plus_motion5,generic,whole,5,0.6508,0.6543,0.034,0.6529
textdev_w150,none,whole,15,0.6507,0.6768,0.0401,0.6653
textdev_w50_plus_motion5,none,whole,31,0.6498,0.6586,0.0315,0.6541
textdev_w150_plus_motion1,generic,whole,5,0.649,0.6686,0.0371,0.6591
textdev_w50_plus_motion1,none,whole,31,0.6489,0.6637,0.0339,0.6563
textdev_w150,none,whole,5,0.6487,0.6721,0.0393,0.662
margin_pooled,generic,whole,1,0.6482,0.6673,0.04,0.6586
textdev_w50_plus_motion5,none,whole,15,0.6482,0.657,0.0316,0.6529
textdev_clip_plus_motion5,mismatched,whole,5,0.6481,0.6524,0.0281,0.6507
textdev_clip_plus_motion1,none,whole,5,0.648,0.6664,0.0346,0.6577
textdev_w50_plus_motion1,mismatched,whole,31,0.648,0.6608,0.0259,0.6541
textdev_clip_plus_motion5,matched,whole,5,0.6476,0.6537,0.0284,0.6508
textdev_w150,none,whole,31,0.6473,0.6748,0.0385,0.6626
margin_pooled_plus_motion5,none,whole,1,0.6473,0.6506,0.0317,0.6484
textdev_clip_plus_motion5,generic,whole,5,0.6471,0.6481,0.0333,0.6482
textdev_w50_plus_motion5,mismatched,whole,15,0.6469,0.6553,0.0273,0.6515
margin_maxmax,generic,whole,15,0.6461,0.6701,0.0315,0.6568
textdev_w150,none,whole,1,0.6457,0.666,0.0371,0.6576
textdev_w150_plus_motion5,generic,whole,1,0.6453,0.6453,0.0318,0.6458
margin_pooled_plus_motion1,mismatched,whole,15,0.6452,0.6571,0.0281,0.6503
margin_maxmax,none,whole,15,0.6451,0.6697,0.0303,0.6561
margin_maxmax,mismatched,whole,15,0.6451,0.6697,0.0303,0.6561
textdev_clip_plus_motion1,generic,whole,5,0.645,0.6628,0.0352,0.6544
textdev_w50_plus_motion1,matched,whole,15,0.6448,0.6644,0.0293,0.6544
textdev_w150_plus_motion5,mismatched,whole,1,0.6447,0.6542,0.0272,0.6498
textdev_w150_plus_motion1,matched,whole,1,0.6445,0.662,0.0344,0.6538
textdev_w150_plus_motion1,mismatched,whole,5,0.6444,0.6681,0.0312,0.6566
margin_pooled_plus_motion1,matched,whole,1,0.644,0.6687,0.0299,0.656
textdev_w50_plus_motion1,generic,whole,31,0.6439,0.6615,0.0361,0.6524
textdev_w50_plus_motion5,generic,whole,15,0.6438,0.6522,0.0329,0.6481
motion5,-,whole,5,0.6435,0.629,0.0098,0.6367
textdev_clip_plus_motion5,none,whole,1,0.6434,0.6465,0.0284,0.6457
textdev_w150_plus_motion1,none,whole,1,0.6433,0.6617,0.0358,0.6532
textdev_w50_plus_motion5,generic,whole,31,0.6426,0.6538,0.034,0.6478
textdev_w150,matched,whole,31,0.6423,0.6653,0.0334,0.6548
margin_pooled_plus_motion5,generic,whole,1,0.6423,0.648,0.0317,0.6449
margin_pooled_plus_motion1,none,whole,1,0.642,0.6619,0.0351,0.6516
textdev_clip_plus_motion1,mismatched,whole,5,0.6416,0.6596,0.0285,0.6509
textdev_w150,mismatched,whole,1,0.6413,0.6666,0.0323,0.6555
textdev_w150,matched,whole,15,0.6404,0.664,0.0328,0.6533
textdev_w150,mismatched,whole,15,0.6402,0.6686,0.0343,0.6559
textdev_w150,mismatched,whole,5,0.6401,0.6669,0.0332,0.6551
margin_pooled_plus_motion1,generic,whole,1,0.6396,0.6598,0.0362,0.6497
textdev_clip_plus_motion5,matched,whole,1,0.6396,0.6429,0.0255,0.6415
textdev_clip_plus_motion5,mismatched,whole,1,0.6393,0.6444,0.026,0.6423
textdev_clip,none,whole,31,0.639,0.6694,0.0379,0.6556
textdev_clip,none,whole,15,0.6389,0.6687,0.04,0.6554
textdev_w50_plus_motion1,none,whole,15,0.6386,0.6559,0.0343,0.6475
textdev_clip_plus_motion5,generic,whole,1,0.6386,0.6377,0.0308,0.6389
textdev_w150,matched,whole,5,0.6379,0.6593,0.0303,0.6499
textdev_w150,mismatched,whole,31,0.6379,0.6678,0.0319,0.6543
textdev_w50_plus_motion1,generic,whole,15,0.6377,0.6545,0.0364,0.6464
margin_maxmax_plus_motion5,matched,whole,1,0.6376,0.6396,0.0244,0.6376
margin_maxmax_plus_center,matched,whole,31,0.6373,0.6447,0.026,0.641
textdev_w150_plus_motion1,generic,whole,1,0.6366,0.6523,0.0372,0.645
textdev_w50_plus_motion1,mismatched,whole,15,0.6366,0.6519,0.0269,0.6444
textdev_w150_plus_motion1,mismatched,whole,1,0.6366,0.6551,0.0315,0.6463
textdev_clip_plus_motion1,none,whole,1,0.6361,0.6527,0.0346,0.6452
margin_maxmax_plus_center,none,whole,31,0.6355,0.6381,0.0286,0.6366
margin_maxmax_plus_center,mismatched,whole,31,0.6355,0.6381,0.0286,0.6366
margin_maxmax,matched,whole,5,0.6342,0.6582,0.0207,0.6457
margin_pooled_plus_center,none,whole,31,0.6342,0.6452,0.0335,0.6401
textdev_clip_plus_motion1,matched,whole,1,0.6342,0.6523,0.0335,0.6439
textdev_w150,matched,whole,1,0.6341,0.6509,0.0294,0.6437
margin_maxmax_plus_center,generic,whole,31,0.6334,0.6369,0.0288,0.6349
margin_maxmax_plus_motion1,matched,whole,1,0.6333,0.6474,0.0302,0.6396
textdev_w150,generic,whole,5,0.6332,0.6556,0.0408,0.6461
textdev_clip,none,whole,5,0.6327,0.6591,0.0389,0.6477
textdev_w150,generic,whole,1,0.6327,0.6504,0.0391,0.6433
textdev_w150,generic,whole,15,0.6327,0.6584,0.0421,0.647
textdev_clip_plus_motion1,mismatched,whole,1,0.6321,0.648,0.0296,0.6405
textdev_clip,matched,whole,31,0.6319,0.6594,0.0341,0.6465
motion5,-,whole,1,0.6318,0.6189,0.013,0.6255
textdev_w50_plus_motion5,none,whole,5,0.6309,0.6347,0.0305,0.6329
motion1,-,whole,1,0.6307,0.6305,0.0191,0.6308
textdev_clip,mismatched,whole,15,0.6307,0.6571,0.0329,0.6454
margin_pooled_plus_motion5,mismatched,whole,5,0.6306,0.6354,0.0271,0.6329
margin_pooled_plus_center,generic,whole,31,0.6305,0.6388,0.0333,0.635
textdev_w50_plus_motion5,mismatched,whole,5,0.6305,0.6357,0.0258,0.6335
textdev_w50_plus_motion5,matched,whole,5,0.6304,0.6344,0.0232,0.6324
textdev_clip_plus_motion1,generic,whole,1,0.6296,0.6454,0.0353,0.6383
margin_maxmax_plus_motion5,none,whole,1,0.6295,0.6214,0.0191,0.6243
margin_maxmax_plus_motion5,mismatched,whole,1,0.6295,0.6214,0.0191,0.6243
margin_maxmax_plus_motion5,generic,whole,1,0.6294,0.6212,0.0201,0.6242
textdev_clip,mismatched,whole,31,0.6293,0.6581,0.0309,0.6452
textdev_w150,generic,whole,31,0.6292,0.6567,0.0415,0.6441
margin_pooled_plus_center,matched,whole,31,0.6289,0.6368,0.0286,0.6337
textdev_w50_plus_motion1,matched,whole,5,0.6287,0.6489,0.0252,0.639
textdev_w50_plus_motion5,generic,whole,5,0.6282,0.6313,0.0306,0.6299
textdev_clip,none,whole,1,0.628,0.6495,0.0358,0.6407
textdev_clip,mismatched,whole,5,0.6269,0.6523,0.032,0.6411
textdev_w50_plus_motion1,mismatched,whole,5,0.6269,0.645,0.0257,0.6365
textdev_w150_plus_center,none,whole,31,0.6258,0.6345,0.0377,0.6308
textdev_w150_plus_center,none,whole,15,0.6255,0.6349,0.0363,0.6307
margin_pooled_plus_center,generic,whole,15,0.6252,0.6397,0.0345,0.6324
margin_maxmax_plus_center,matched,whole,15,0.6251,0.6355,0.0267,0.6298
textdev_clip,mismatched,whole,1,0.6249,0.6489,0.0305,0.6385
textdev_w50_plus_motion1,none,whole,5,0.6244,0.6412,0.0331,0.6332
margin_pooled_plus_center,none,whole,15,0.6243,0.6402,0.0338,0.6323
margin_pooled_plus_motion1,mismatched,whole,5,0.6238,0.6399,0.028,0.6311
textdev_clip,generic,whole,15,0.6237,0.6529,0.0407,0.6398
textdev_w50_plus_motion1,generic,whole,5,0.6229,0.6393,0.0343,0.6316
textdev_w150_plus_center,mismatched,whole,31,0.6226,0.628,0.0337,0.6262
textdev_clip,matched,whole,15,0.6221,0.653,0.034,0.6387
margin_maxmax_plus_motion1,none,whole,1,0.622,0.6244,0.0243,0.6225
margin_maxmax_plus_motion1,mismatched,whole,1,0.622,0.6244,0.0243,0.6225
textdev_w150_plus_center,generic,whole,31,0.6215,0.6239,0.0389,0.6233
textdev_clip,generic,whole,5,0.6214,0.6457,0.0394,0.6354
margin_maxmax_plus_motion1,generic,whole,1,0.6212,0.6233,0.0246,0.6215
margin_pooled,mismatched,whole,31,0.6203,0.638,0.0278,0.6283
textdev_w150_plus_center,none,whole,5,0.62,0.6298,0.0363,0.6254
textdev_clip,generic,whole,31,0.6197,0.6515,0.0406,0.6368
textdev_w50_plus_motion5,mismatched,whole,1,0.6193,0.6249,0.0232,0.6227
textdev_w50_plus_motion5,none,whole,1,0.6191,0.6232,0.0271,0.6216
textdev_clip_plus_center,none,whole,31,0.6191,0.6259,0.0378,0.6233
textdev_clip_plus_center,none,whole,15,0.6187,0.6252,0.0357,0.6227
margin_maxmax_plus_center,none,whole,15,0.6183,0.625,0.0292,0.6209
margin_maxmax_plus_center,mismatched,whole,15,0.6183,0.625,0.0292,0.6209
textdev_w150_plus_center,generic,whole,15,0.6181,0.6255,0.0387,0.6222
textdev_clip_plus_center,mismatched,whole,31,0.6178,0.6223,0.0333,0.621
textdev_clip,generic,whole,1,0.6173,0.6371,0.0375,0.629
textdev_w50_plus_motion5,matched,whole,1,0.6173,0.6212,0.0207,0.6193
textdev_w150_plus_center,matched,whole,31,0.6171,0.6331,0.035,0.6256
textdev_clip,matched,whole,5,0.6169,0.6444,0.0306,0.6319
margin_pooled_plus_center,matched,whole,15,0.6168,0.631,0.0295,0.6241
textdev_w50_plus_motion5,generic,whole,1,0.6166,0.6173,0.0288,0.6174
margin_maxmax_plus_center,generic,whole,15,0.6162,0.6244,0.0295,0.6196
textdev_w50_plus_motion1,mismatched,whole,1,0.6158,0.6314,0.0276,0.6242
margin_maxmax,generic,whole,5,0.6154,0.6401,0.0288,0.6261
textdev_clip_plus_center,generic,whole,31,0.6153,0.6191,0.0387,0.6178
textdev_w150_plus_center,mismatched,whole,15,0.6153,0.6239,0.0334,0.6202
textdev_w150_plus_center,generic,whole,5,0.6147,0.6223,0.0381,0.6189
margin_pooled_plus_center,mismatched,whole,31,0.6139,0.6154,0.032,0.6149
margin_maxmax,none,whole,5,0.6138,0.6393,0.0277,0.6249
margin_maxmax,mismatched,whole,5,0.6138,0.6393,0.0277,0.6249
textdev_clip_plus_center,generic,whole,15,0.6132,0.6191,0.0383,0.6166
textdev_w150_plus_center,none,whole,1,0.6124,0.6206,0.0344,0.617
textdev_w50_plus_motion1,none,whole,1,0.6119,0.628,0.0339,0.6205
textdev_clip_plus_center,none,whole,5,0.6116,0.6187,0.0357,0.616
textdev_w150_plus_center,mismatched,whole,5,0.6115,0.6208,0.0335,0.6165
textdev_w150_plus_center,matched,whole,5,0.6113,0.6244,0.0332,0.6183
margin_pooled_plus_center,generic,whole,5,0.6102,0.6237,0.0348,0.6168
textdev_w150_plus_center,matched,whole,15,0.6098,0.6256,0.035,0.6181
textdev_clip,matched,whole,1,0.6097,0.6308,0.0299,0.6214
textdev_w50_plus_motion1,generic,whole,1,0.6094,0.6227,0.0346,0.6166
textdev_w50_plus_motion1,matched,whole,1,0.6092,0.628,0.0274,0.6188
textdev_clip_plus_center,mismatched,whole,15,0.6092,0.6153,0.0323,0.6128
textdev_w150_plus_center,generic,whole,1,0.608,0.6139,0.0352,0.6113
margin_pooled,mismatched,whole,15,0.6078,0.6249,0.0282,0.6148
margin_maxmax_plus_center,matched,whole,5,0.6077,0.6157,0.0276,0.6107
textdev_clip_plus_center,generic,whole,5,0.6076,0.6144,0.0379,0.6116
textdev_clip_plus_center,none,whole,1,0.6067,0.6139,0.0333,0.611
textdev_w150_plus_center,mismatched,whole,1,0.6066,0.6166,0.032,0.6119
textdev_clip_plus_center,mismatched,whole,5,0.6061,0.6138,0.0336,0.6104
textdev_clip_plus_center,matched,whole,31,0.6053,0.624,0.0338,0.6151
margin_pooled_plus_center,none,whole,5,0.6049,0.6208,0.0347,0.6126
margin_pooled_plus_motion5,mismatched,whole,1,0.6049,0.61,0.0278,0.6067
textdev_w150_plus_center,matched,whole,1,0.6041,0.6138,0.0318,0.6093
textdev_clip_plus_center,generic,whole,1,0.6037,0.6098,0.0343,0.6073
textdev_clip_plus_center,mismatched,whole,1,0.6037,0.6101,0.0319,0.6072
margin_pooled_plus_center,mismatched,whole,15,0.6028,0.6038,0.0336,0.6028
margin_pooled_plus_motion1,mismatched,whole,1,0.6022,0.6166,0.0297,0.6088
margin_pooled_plus_center,matched,whole,5,0.6021,0.6153,0.0287,0.6086
margin_maxmax_plus_center,none,whole,5,0.6014,0.6016,0.03,0.6002
margin_maxmax_plus_center,mismatched,whole,5,0.6014,0.6016,0.03,0.6002
margin_maxmax_plus_center,generic,whole,5,0.6007,0.6025,0.0299,0.6004
textdev_clip_plus_center,matched,whole,15,0.5992,0.6158,0.0336,0.6078
margin_maxmax,matched,whole,1,0.5975,0.6231,0.0208,0.6095
textdev_clip_plus_center,matched,whole,5,0.5965,0.6122,0.0319,0.6049
textdev_w50_plus_center,mismatched,whole,31,0.5961,0.6005,0.0294,0.599
textdev_clip_plus_center,matched,whole,1,0.5904,0.6014,0.0299,0.5962
textdev_w50,none,whole,15,0.5903,0.622,0.0324,0.6071
margin_pooled_plus_center,mismatched,whole,5,0.5903,0.589,0.0344,0.5887
textdev_w50,none,whole,31,0.5893,0.6194,0.0315,0.6054
textdev_w50,mismatched,whole,31,0.5885,0.6121,0.026,0.6012
textdev_w50,mismatched,whole,15,0.5879,0.6168,0.0252,0.6033
textdev_w50,mismatched,whole,5,0.5869,0.6136,0.0254,0.6012
textdev_w50_plus_center,mismatched,whole,15,0.5868,0.597,0.0295,0.5927
margin_maxmax,generic,whole,1,0.5864,0.6092,0.0264,0.596
textdev_w50_plus_center,none,whole,31,0.5858,0.5925,0.0323,0.5896
margin_pooled,mismatched,whole,5,0.5857,0.6028,0.0293,0.5921
textdev_w50_plus_center,matched,whole,31,0.5857,0.5896,0.0257,0.5878
center,-,whole,31,0.5856,0.5852,0.0252,0.5853
margin_maxmax,none,whole,1,0.5851,0.6089,0.0251,0.5952
margin_maxmax,mismatched,whole,1,0.5851,0.6089,0.0251,0.5952
textdev_w50_plus_center,mismatched,whole,5,0.584,0.5947,0.0298,0.5899
textdev_w50_plus_center,generic,whole,31,0.5836,0.5894,0.0329,0.5868
textdev_w50,none,whole,5,0.5829,0.6117,0.0306,0.5983
textdev_w50_plus_center,generic,whole,15,0.5828,0.592,0.0351,0.5877
textdev_w50,mismatched,whole,1,0.5822,0.6078,0.0241,0.5959
textdev_w50_plus_center,none,whole,15,0.5821,0.5932,0.033,0.5879
margin_pooled_plus_center,none,whole,1,0.5814,0.5935,0.0352,0.5864
textdev_w50_plus_center,generic,whole,5,0.5806,0.5905,0.0336,0.5859
textdev_w50_plus_center,mismatched,whole,1,0.5805,0.5892,0.0276,0.5851
textdev_w50_plus_center,matched,whole,15,0.5803,0.5901,0.027,0.5852
textdev_w50_plus_center,generic,whole,1,0.58,0.5868,0.03,0.5838
margin_pooled_plus_center,generic,whole,1,0.5799,0.5952,0.0363,0.5867
textdev_w50_plus_center,none,whole,5,0.5798,0.5917,0.0316,0.5861
textdev_w50_plus_center,none,whole,1,0.5794,0.5879,0.0285,0.5839
textdev_w50,none,whole,1,0.5792,0.6037,0.0271,0.5923
textdev_w50,generic,whole,15,0.579,0.6074,0.0339,0.5943
textdev_w50,matched,whole,31,0.5788,0.6003,0.0217,0.5899
margin_pooled_plus_center,matched,whole,1,0.5778,0.5935,0.0273,0.5848
textdev_w50,matched,whole,15,0.5762,0.6052,0.0233,0.591
textdev_w50,generic,whole,5,0.576,0.6006,0.0315,0.5894
center,-,whole,15,0.5757,0.5764,0.022,0.5753
textdev_w50_plus_center,matched,whole,5,0.575,0.5896,0.0264,0.5824
textdev_w50,generic,whole,31,0.5742,0.6043,0.0353,0.5902
textdev_w50,generic,whole,1,0.5736,0.5948,0.028,0.5852
textdev_w50,matched,whole,5,0.5734,0.5992,0.0211,0.5867
textdev_w50,matched,whole,1,0.5694,0.5912,0.0198,0.5808
textdev_w50_plus_center,matched,whole,1,0.5681,0.5801,0.025,0.574
center,-,whole,5,0.5662,0.5645,0.0213,0.5646
margin_maxmax_plus_center,matched,whole,1,0.5649,0.5673,0.0294,0.5644
margin_pooled,mismatched,whole,1,0.5607,0.5777,0.0304,0.5665
margin_pooled_plus_center,mismatched,whole,1,0.5606,0.5579,0.0345,0.5574
center,-,whole,1,0.5604,0.5574,0.0208,0.5583
margin_maxmax_plus_center,none,whole,1,0.5584,0.5506,0.0272,0.5523
margin_maxmax_plus_center,mismatched,whole,1,0.5584,0.5506,0.0272,0.5523
margin_maxmax_plus_center,generic,whole,1,0.5583,0.5513,0.0281,0.5527
