strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
margin_maxmax_plus_motion5,none,whole,5,0.6623,0.6635,0.0319,0.6623
margin_maxmax_plus_motion5,mismatched,whole,5,0.6623,0.6635,0.0319,0.6623
textdev_w50_plus_motion1,matched,whole,15,0.6616,0.6813,0.0293,0.671
margin_maxmax_plus_motion5,generic,whole,5,0.6614,0.6621,0.032,0.6612
margin_pooled_plus_motion1,mismatched,whole,15,0.6612,0.6748,0.0309,0.6675
textdev_clip_plus_motion1,mismatched,whole,15,0.6612,0.6748,0.0309,0.6675
margin_pooled_plus_motion5,none,whole,5,0.6607,0.667,0.0349,0.6645
textdev_clip_plus_motion5,none,whole,5,0.6607,0.667,0.0349,0.6645
textdev_w150_plus_motion1,generic,whole,15,0.6604,0.6848,0.0393,0.6727
textdev_w50_plus_motion5,none,whole,31,0.6594,0.6652,0.0353,0.6621
textdev_w150_plus_motion1,none,whole,5,0.6594,0.6796,0.0365,0.6697
textdev_w150,none,whole,1,0.6591,0.6844,0.0397,0.6728
textdev_w150_plus_motion5,matched,whole,1,0.6583,0.6671,0.0297,0.6631
textdev_w150_plus_motion1,mismatched,whole,15,0.6583,0.6772,0.0336,0.6673
textdev_w50_plus_motion1,none,whole,31,0.6572,0.6695,0.038,0.6632
margin_pooled_plus_motion1,none,whole,5,0.657,0.6761,0.0365,0.667
textdev_clip_plus_motion1,none,whole,5,0.657,0.6761,0.0365,0.667
margin_maxmax_plus_motion5,matched,whole,1,0.6567,0.6632,0.0277,0.66
textdev_w50_plus_motion5,mismatched,whole,31,0.6565,0.6587,0.0291,0.6572
textdev_w150,none,whole,15,0.6563,0.6813,0.0403,0.6696
margin_maxmax_plus_motion1,none,whole,5,0.6562,0.663,0.031,0.6589
margin_maxmax_plus_motion1,mismatched,whole,5,0.6562,0.663,0.031,0.6589
textdev_w150,matched,whole,31,0.6559,0.6767,0.0328,0.6673
margin_maxmax_plus_motion1,generic,whole,5,0.6553,0.6617,0.0314,0.6578
textdev_w150,none,whole,5,0.6552,0.6792,0.0416,0.6679
margin_pooled_plus_motion5,matched,whole,1,0.6552,0.6657,0.0312,0.6612
textdev_clip_plus_motion5,matched,whole,1,0.6552,0.6657,0.0312,0.6612
motion1,-,whole,5,0.6551,0.6592,0.0162,0.657
textdev_w50_plus_motion1,mismatched,whole,31,0.6551,0.6643,0.0296,0.6592
textdev_w150_plus_motion1,matched,whole,1,0.6545,0.6783,0.0328,0.6669
margin_pooled,matched,whole,31,0.6543,0.6824,0.0348,0.6696
textdev_clip,matched,whole,31,0.6543,0.6824,0.0348,0.6696
margin_pooled_plus_motion5,mismatched,whole,5,0.6541,0.6578,0.0312,0.6561
textdev_clip_plus_motion5,mismatched,whole,5,0.6541,0.6578,0.0312,0.6561
margin_pooled,none,whole,15,0.6539,0.6825,0.0418,0.6695
textdev_clip,none,whole,15,0.6539,0.6825,0.0418,0.6695
textdev_w150_plus_motion5,none,whole,1,0.6537,0.6625,0.0329,0.6587
margin_pooled_plus_motion5,generic,whole,5,0.6531,0.6564,0.0349,0.6554
textdev_w150_plus_motion5,generic,whole,5,0.6531,0.6572,0.0362,0.6553
textdev_clip_plus_motion5,generic,whole,5,0.6531,0.6564,0.0349,0.6554
textdev_w50_plus_motion5,none,whole,15,0.6529,0.6649,0.0355,0.659
textdev_w150_plus_motion5,mismatched,whole,5,0.6527,0.6611,0.0335,0.657
margin_pooled,none,whole,31,0.6525,0.6804,0.038,0.6676
textdev_clip,none,whole,31,0.6525,0.6804,0.038,0.6676
textdev_w50_plus_motion1,generic,whole,31,0.6513,0.6679,0.0386,0.6591
textdev_w150_plus_motion1,generic,whole,5,0.651,0.6707,0.0386,0.6611
margin_pooled_plus_motion5,none,whole,1,0.6505,0.6588,0.0322,0.6555
textdev_clip_plus_motion5,none,whole,1,0.6505,0.6588,0.0322,0.6555
margin_pooled_plus_motion1,generic,whole,5,0.6503,0.6701,0.0375,0.6607
textdev_clip_plus_motion1,generic,whole,5,0.6503,0.6701,0.0375,0.6607
margin_pooled,none,whole,1,0.6501,0.6755,0.0404,0.6643
margin_maxmax,none,whole,31,0.6501,0.6698,0.0365,0.6598
margin_maxmax,mismatched,whole,31,0.6501,0.6698,0.0365,0.6598
textdev_clip,none,whole,1,0.6501,0.6755,0.0404,0.6643
margin_maxmax,generic,whole,31,0.6498,0.668,0.0373,0.6587
textdev_w150,none,whole,31,0.6498,0.6748,0.0378,0.6632
textdev_w150,matched,whole,15,0.6496,0.674,0.0317,0.6627
margin_pooled,none,whole,5,0.6492,0.6762,0.0421,0.6641
textdev_clip,none,whole,5,0.6492,0.6762,0.0421,0.6641
margin_pooled_plus_motion1,matched,whole,1,0.6492,0.6749,0.0344,0.6629
textdev_clip_plus_motion1,matched,whole,1,0.6492,0.6749,0.0344,0.6629
textdev_w150,matched,whole,5,0.6487,0.674,0.0279,0.6624
textdev_w50_plus_motion5,generic,whole,31,0.6487,0.6595,0.0373,0.6536
margin_pooled_plus_motion1,mismatched,whole,5,0.6481,0.6643,0.0302,0.6561
textdev_clip_plus_motion1,mismatched,whole,5,0.6481,0.6643,0.0302,0.6561
textdev_w150_plus_motion1,mismatched,whole,5,0.6479,0.6683,0.0328,0.6579
margin_maxmax_plus_motion1,matched,whole,1,0.6474,0.6683,0.0285,0.6584
margin_maxmax,matched,whole,31,0.6473,0.6786,0.0311,0.6631
